0160000001;0,38
0160000002;0,38
0160000003;0,28
0160000004;0,41
0160000006;0,46
0160000007;0,63
0160000008;1,18
0160000009;0,95
0160000010;1,55
0160000110;1,8
0160000112;2,15
0160000115;2,99
0160000122;6,26
0160001122;10,38
0160001135;16,1
0160002122;12,3
0170000002;0,82
0170000006;1,95
0170000007;2,55
0170000010;7,11
0206520004;12,05
0206520006;23,65
0206520007;33
0206520008;101,75
0206520078;98,4
0206521004;8,95
0206521006;13,7
0206521007;17,9
0206521008;44,9
0206521009;73,55
0206521078;42,45
0209020004;11,85
0209020006;23,9
0209020007;33,55
0209020008;97,55
0209020078;36,85
0209021004;7,95
0209021006;14,25
0209021007;17,75
0209021008;36,8
0209021009;71,2
0209021078;23,15
0210035000;3,39
0210150003;0,91
0210225000;1,5
0210225001;1,5
0220020008;0,92
0220020010;0,93
0220020012;1,66
0220021010;1,7
0220030010;1,49
0220030012;1,02
0220030015;2,44
0220040015;1,6
0220041015;1,9
0220060022;2,74
0220070030;5,96
0220250002;0,86
0220250003;1,35
0220250004;0,65
0220250006;3,16
0220250007;5,93
0220250008;17,1
0226520002;1,77
0226520003;2,18
0226520004;2,97
0226520006;4,93
0226520007;9,1
0226520008;17,1
0229020002;1,03
0229020003;1,64
0229020004;2,46
0229020006;4,05
0229020007;7,26
0229020008;13,46
0231000001;0,56
0231000002;0,51
0231000003;0,68
0231000004;0,46
0231000006;0,55
0231000007;0,74
0231000008;2,18
0231000009;2,46
0231000010;2,74
0231100002;3,08
0231120003;2,27
0231150004;4,15
0231220006;3,92
0231500011;4,96
0232000012;6,11
0232000014;11,34
0232500016;33,35
0233000011;7,78
0233000014;11,2
0501003557;22,25
0501005045;27,85
0502000010;39,45
0502000342;33,13
0502005010;8,73
0502005020;7,85
0502005021;10,94
0502005022;6,73
0502005030;25,56
0502005040;20,88
0510000010;14,29
0510000090;431,09
0510000456;10,85
0510000458;12,93
0510000544;4,42
0510006000;80,21
0510009976;2,04
0510030125;42,77
0510043651;2,56
0510093029;43,11
0510900060;3,52
0510900100;3,63
0511000310;5,33
0511000311;5,83
0512000038;20,19
0512000400;5,29
0512000401;3,43
0512000402;3,15
0512000500;4,95
0512000501;4,65
0512000502;5,95
0512000503;3,43
0512001000;4,79
0513000500;3,43
0513000501;3,43
0514000000;10
0516050949;6,58
0900000001;1,28
0900000002;1,12
0900000003;0,92
0900000004;0,65
0900000006;1,01
0900000007;1,63
0900000008;3,05
0900000009;4,94
0900000010;5,81
0900000011;16,75
0900000012;21,06
0900000110;3,63
0900000112;3,71
0900000115;5,85
0900000122;8,86
0901150006;10,49
0920000001;1,2
0920000002;0,97
0920000003;0,93
0920000004;0,65
0920000006;0,93
0920000007;1,65
0920000008;2,89
0920000009;4,24
0920000010;5,53
0920000011;13,97
0920000012;16,87
0920000014;28,7
0920000110;3,85
0920000112;5,34
